inspection_id,dba_name,aka_name,license_,facility_type,risk,address,city,state,zip,inspection_date,inspection_type,results,latitude,longitude
134240,ARMITAGE PRODUCE INC,ARMITAGE PRODUCE,1771323,Grocery Store,Risk 1 (High),2007 N KIMBALL AVE,CHICAGO,IL,60647,2010-01-06,Complaint Re-Inspection,Pass,41.91756241889966,-87.7117551086784
154306,SAI CAFE,SAI CAFE,18872,Restaurant,Risk 1 (High),2010 N SHEFFIELD AVE,CHICAGO,IL,60614,2010-03-12,Suspected Food Poisoning,Fail,41.91847496076938,-87.65352811844411
158274,ARGENTINA FOODS,ARGENTINA FOODS,57047,Grocery Store,Risk 2 (Medium),4500 S WOOD ST,CHICAGO,IL,60609,2010-01-20,Out of Business,Fail,41.81210515297724,-87.67007183351623
158276,SCOTT'S HAMBURGER HEAVEN,SCOTT'S HAMBURGER HEAVEN,1821087,Restaurant,Risk 1 (High),1546 W 35TH ST,CHICAGO,IL,60609,2010-01-20,Canvass Re-Inspection,Pass,41.830619099685535,-87.66498111376346
158352,WELLS FOOD MART INC.,WELLS FOOD MART INC.,2002910,Grocery Store,Risk 3 (Low),5458 S WELLS ST,CHICAGO,IL,60609,2010-03-08,License Re-Inspection,Fail,41.79456007076774,-87.63192847483175
160390,SPORTSERVICE SOLDIER FIELD,GRIDIRON GRILL,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
164256,SAFAH FOOD & LIQUOR INC,SAFAH FOOD & LIQUOR INC,14103,Grocery Store,Risk 3 (Low),7105 S RACINE AVE,CHICAGO,IL,60636,2010-01-05,Canvass Re-Inspection,Pass,41.76489640024705,-87.65396483351302
197469,SPORTSERVICE SOLDIER FIELD,GRIDIRON GRILL,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
197474,SPORTSERVICE SOLDIER FIELD,BREWS BROTHER,1354323,Restaurant,Risk 3 (Low),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
197475,SPORTSERVICE SOLDIER FIELD,1ST DOWN FRANKS,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
197476,SPORTSERVICE SOLDIER FIELD,GRIDIRON GRILL,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
197478,SPORTSERVICE SOLDIER FIELD,SOUTHSIDE BRATS,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
197480,SPORTSERVICE SOLDIER FIELD,2ND CITY PIZZA,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
197481,SPORTSERVICE SOLDIER FIELD,1ST DOWN FRANKS,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
205315,GATEWAY NEWSTAND,GATEWAY NEWSTAND,2026945,Grocery Store,Risk 3 (Low),875 N MICHIGAN AVE,CHICAGO,IL,60611,2010-03-30,License,Fail,41.898948541729865,-87.62397498768968
205359,AMERICA'S DOG,AMERICA'S DOG,,Navy Pier Kiosk,Risk 2 (Medium),600 E GRAND AVE,CHICAGO,IL,60611,2010-06-15,License,Pass,41.892094136861786,-87.61156988394656
205372,COUNTRY CORN,COUNTRY CORN,,Navy Pier Kiosk,Risk 3 (Low),600 E GRAND AVE,CHICAGO,IL,60611,2010-06-21,License,Fail,41.892094136861786,-87.61156988394656
231284,ILLINOIS SPORTSERVICE INC,MOOSES DOGS AND POLISH 10 (#538),14616,KIOSK,Risk 2 (Medium),333 W 35TH ST,CHICAGO,IL,60616,2010-03-25,Canvass,Pass,41.83078366228312,-87.6352957830455
233442,Lincoln Park Academy,FRESHMAN BUILDING,1878494,School,Risk 2 (Medium),2021 N Burling AVE,CHICAGO,IL,60614,2010-05-03,Canvass,Pass,41.9189010987926,-87.64717807164104
233459,ZENTRA,ZENTRA,37577,Restaurant,Risk 3 (Low),923 W WEED ST,CHICAGO,IL,60642,2010-05-03,Canvass Re-Inspection,Pass,41.90968970705219,-87.65195482147212
233570,CITGO FUEL & MINI MART,CITGO FUEL & MINI MART,2027297,Grocery Store,Risk 3 (Low),2352 E 75TH ST,CHICAGO,IL,60649,2010-05-06,License,Fail,41.759093980239946,-87.5666892139346
238232,NEW SUNRISE GYROS RESTURANT,NEW SUNRISE GYROS RESTURANT,1997768,Restaurant,Risk 2 (Medium),1140 W 76TH ST BLDG,CHICAGO,IL,60620,2010-03-02,Short Form Complaint,Pass,41.75607779899558,-87.65307161936285
250626,SPORTSERVICE SOLDIER FIELD,BREWS BROTHER,1354323,Restaurant,Risk 3 (Low),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
250633,SPORTSERVICE SOLDIER FIELD,GRIDIRON GRILL,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
250655,SPORTSERVICE SOLDIER FIELD,2ND CITY PIZZA,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
250660,SPORTSERVICE SOLDIER FIELD,1ST DOWN FRANK,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
277119,L ISAASCSON STEIN FISH CO INC,L ISAASCSON STEIN FISH CO INC,4077,fish market,Risk 2 (Medium),800 W FULTON MARKET,CHICAGO,IL,60607,2010-07-07,Complaint,Pass,41.88690672817522,-87.647565096457
